titre,url,organisation,date
PLF - Jaune - Associations subventionnées,https://www.data.gouv.fr/datasets/plf-jaune-associations-subventionnees,Ministères économiques et financiers,Mis à jour le 13 déc. 2018
Indices de position sociale des écoles (2016-2021),https://www.data.gouv.fr/datasets/indices-de-position-sociale-dans-les-ecoles-de-france-metropolitaine-et-drom-version-2-1,Ministères de l'Éducation nationale,Mis à jour le 24 mai 2024
Indices de position sociale des lycées (2016-2021),https://www.data.gouv.fr/datasets/indices-de-position-sociale-dans-les-lycees-de-france-metropolitaine-et-drom,Ministères de l'Éducation nationale,Mis à jour le 24 mai 2024
Répertoire national des certifications professionnelles et répertoire spécifique,https://www.data.gouv.fr/datasets/repertoire-national-des-certifications-professionnelles-et-repertoire-specifique,France compétences,Mis à jour avant-hier
Portraits des circonscriptions législatives - indicateurs économiques et socio-démographiques,https://www.data.gouv.fr/datasets/portraits-des-circonscriptions-legislatives-indicateurs-economiques-et-socio-demographiques,Institut national de la statistique et des études économiques (Insee),Mis à jour il y a 7 jours
Activité emploi et chômage - enquête emploi en continu,https://www.data.gouv.fr/datasets/activite-emploi-et-chomage-enquete-emploi-en-continu,Institut national de la statistique et des études économiques (Insee),Mis à jour il y a 12 jours
Aires géographiques des AOC/AOP,https://www.data.gouv.fr/datasets/aires-geographiques-des-aoc-aop,Institut national de l'origine et de la qualité,Mis à jour le 9 oct. 2025
"""Carte des loyers"" - Indicateurs de loyers d'annonce par commune en 2023",https://www.data.gouv.fr/datasets/carte-des-loyers-indicateurs-de-loyers-dannonce-par-commune-en-2023,Ministère de la Transition écologique,Mis à jour le 15 janv. 2024
Base des lieux et équipements culturels (Basilic),https://www.data.gouv.fr/datasets/base-des-lieux-et-equipements-culturels-basilic,Ministère de la Culture,Mis à jour le 18 févr. 2026
Parcoursup 2025 - vœux de poursuite d'études et de réorientation dans l'enseignement supérieur et réponses des établissements,https://www.data.gouv.fr/datasets/parcoursup-2025-voeux-de-poursuite-detudes-et-de-reorientation-dans-lenseignement-superieur-et-reponses-des-etablissements,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Espace",Mis à jour le 9 mars 2026
Liste des festivals en France,https://www.data.gouv.fr/datasets/liste-des-festivals-en-france,Ministère de la Culture,Mis à jour le 27 août 2025
OLD Taux d'incidence de l'épidémie de COVID-19,https://www.data.gouv.fr/datasets/old-taux-dincidence-de-lepidemie-de-covid-19,Santé publique France,Mis à jour le 21 févr. 2023
